"Unnamed: 0","StudentID","CourseID","SelectionDate"
"0","S0001","CSE 556","2023-09-26"
"1","S0001","CSE 550","2023-09-26"
"2","S0001","CSE 533","2023-09-26"
"3","S0001","E E 576","2023-09-26"
"4","S0001","CSE 501","2023-09-26"
"5","S0001","CSE 527","2023-09-26"
"6","S0001","CSE 567","2023-09-26"
"7","S0001","MATH 561","2023-09-26"
"8","S0001","MATH 504","2023-09-26"
"9","S0002","CSE 461","2023-09-26"
"10","S0002","CSE 332","2022-09-26"
"11","S0002","CSE 311","2022-09-26"
"12","S0002","CSE 123","2020-09-26"
"13","S0002","CSE 143","2020-09-26"
"14","S0002","CSE 142","2020-09-26"
"15","S0002","CSE 333","2022-09-26"
"16","S0002","CSE 351","2022-09-26"
"17","S0002","CSE 123","2020-09-26"
"18","S0002","CSE 143","2020-09-26"
"19","S0002","CSE 142","2020-09-26"
"20","S0002","CSE 447","2023-09-26"
"21","S0002","CSE 312","2022-09-26"
"22","S0002","CSE 311","2022-09-26"
"23","S0002","CSE 123","2020-09-26"
"24","S0002","CSE 143","2020-09-26"
"25","S0002","CSE 142","2020-09-26"
"26","S0002","CSE 332","2022-09-26"
"27","S0002","CSE 311","2022-09-26"
"28","S0002","CSE 413","2023-09-26"
"29","S0002","CSE 373","2022-09-26"
"30","S0002","CSE 454","2023-09-26"
"31","S0002","CSE 416","2023-09-26"
"32","S0002","MATH 427","2023-09-26"
"33","S0002","CSE 462","2023-09-26"
"34","S0002","MATH 208","2021-09-26"
"35","S0002","CSE 412","2023-09-26"
"36","S0002","CSE 401","2023-09-26"
"37","S0002","E E 280","2021-09-26"
"38","S0002","E E 215","2021-09-26"
"39","S0002","MATH 224","2021-09-26"
"40","S0002","E E 205","2021-09-26"
"41","S0002","E E 271","2021-09-26"
"42","S0002","E E 233","2021-09-26"
"43","S0002","E E 215","2021-09-26"
"44","S0002","MATH 209","2021-09-26"
"45","S0003","CSE 160","2023-09-26"
"46","S0003","CSE 123","2023-09-26"
"47","S0003","CSE 143","2023-09-26"
"48","S0003","CSE 142","2023-09-26"
"49","S0003","CSE 112","2023-09-26"
"50","S0003","MATH 116","2023-09-26"
"51","S0003","MATH 125","2023-09-26"
"52","S0003","MATH 124","2023-09-26"
"53","S0003","MATH 111","2023-09-26"
"54","S0004","E E 530","2023-09-26"
"55","S0004","E E 508","2023-09-26"
"56","S0004","E E 505","2023-09-26"
"57","S0004","E E 572","2023-09-26"
"58","S0004","CSE 512","2023-09-26"
"59","S0004","E E 532","2023-09-26"
"60","S0004","E E 593","2023-09-26"
"61","S0004","E E 547","2023-09-26"
"62","S0004","E E 510","2023-09-26"
"63","S0005","CSE 311","2023-09-26"
"64","S0005","CSE 123","2021-09-26"
"65","S0005","CSE 143","2021-09-26"
"66","S0005","CSE 142","2021-09-26"
"67","S0005","CSE 391","2023-09-26"
"68","S0005","CSE 122","2021-09-26"
"69","S0005","CSE 123","2021-09-26"
"70","S0005","CSE 374","2023-09-26"
"71","S0005","CSE 333","2023-09-26"
"72","S0005","CSE 351","2023-09-26"
"73","S0005","CSE 123","2021-09-26"
"74","S0005","CSE 143","2021-09-26"
"75","S0005","CSE 142","2021-09-26"
"76","S0005","CSE 123","2021-09-26"
"77","S0005","CSE 331","2023-09-26"
"78","S0005","CSE 369","2023-09-26"
"79","S0005","CSE 311","2023-09-26"
"80","S0005","E E 398","2023-09-26"
"81","S0005","E E 299","2022-09-26"
"82","S0005","E E 280","2022-09-26"
"83","S0005","E E 215","2022-09-26"
"84","S0005","E E 205","2022-09-26"
"85","S0005","MATH 282","2022-09-26"
"86","S0005","E E 271","2022-09-26"
"87","S0005","E E 242","2022-09-26"
"88","S0005","MATH 207","2022-09-26"
"89","S0005","E E 201","2022-09-26"
"90","S0006","AMATH 570","2023-09-26"
"91","S0006","AMATH 584","2023-09-26"
"92","S0006","MATH 585","2023-09-26"
"93","S0006","AMATH 581","2023-09-26"
"94","S0006","AMATH 584","2023-09-26"
"95","S0006","AMATH 516","2023-09-26"
"96","S0006","AMATH 568","2023-09-26"
"97","S0006","AMATH 523","2023-09-26"
"98","S0006","AMATH 502","2023-09-26"
"99","S0007","MATH 465","2023-09-26"
"100","S0007","MATH 464","2023-09-26"
"101","S0007","MATH 136","2020-09-26"
"102","S0007","MATH 135","2020-09-26"
"103","S0007","MATH 134","2020-09-26"
"104","S0007","MATH 208","2021-09-26"
"105","S0007","MATH 126","2020-09-26"
"106","S0007","MATH 125","2020-09-26"
"107","S0007","MATH 124","2020-09-26"
"108","S0007","MATH 134","2020-09-26"
"109","S0007","MATH 407","2023-09-26"
"110","S0007","MATH 136","2020-09-26"
"111","S0007","MATH 135","2020-09-26"
"112","S0007","MATH 208","2021-09-26"
"113","S0007","MATH 402","2023-09-26"
"114","S0007","MATH 300","2022-09-26"
"115","S0007","MATH 208","2021-09-26"
"116","S0007","MATH 409","2023-09-26"
"117","S0007","MATH 407","2023-09-26"
"118","S0007","MATH 208","2021-09-26"
"119","S0007","MATH 300","2022-09-26"
"120","S0007","MATH 444","2023-09-26"
"121","S0007","MATH 334","2022-09-26"
"122","S0007","MATH 208","2021-09-26"
"123","S0007","MATH 462","2023-09-26"
"124","S0007","MATH 461","2023-09-26"
"125","S0007","MATH 334","2022-09-26"
"126","S0007","MATH 300","2022-09-26"
"127","S0007","MATH 394","2022-09-26"
"128","S0007","MATH 335 ","2022-09-26"
"129","S0007","MATH 334","2022-09-26"
"130","S0007","MATH 382","2022-09-26"
"131","S0007","MATH 224","2021-09-26"
"132","S0007","MATH 207","2021-09-26"
"133","S0007","MATH 209","2021-09-26"
"134","S0007","MATH 207","2021-09-26"
"135","S0008","E E 351","2023-09-26"
"136","S0008","E E 215","2022-09-26"
"137","S0008","MATH 136","2021-09-26"
"138","S0008","MATH 135","2021-09-26"
"139","S0008","MATH 134","2021-09-26"
"140","S0008","MATH 126","2021-09-26"
"141","S0008","MATH 125","2021-09-26"
"142","S0008","MATH 124","2021-09-26"
"143","S0008","MATH 134","2021-09-26"
"144","S0008","E E 332","2023-09-26"
"145","S0008","E E 331","2023-09-26"
"146","S0008","E E 233","2022-09-26"
"147","S0008","E E 215","2022-09-26"
"148","S0008","MATH 136","2021-09-26"
"149","S0008","MATH 135","2021-09-26"
"150","S0008","E E 361","2023-09-26"
"151","S0008","E E 215","2022-09-26"
"152","S0008","E E 391","2023-09-26"
"153","S0008","E E 241","2022-09-26"
"154","S0008","E E 321","2023-09-26"
"155","S0008","E E 371","2023-09-26"
"156","S0008","E E 205","2022-09-26"
"157","S0008","E E 215","2022-09-26"
"158","S0008","CSE 340","2023-09-26"
"159","S0008","E E 393","2023-09-26"
"160","S0008","MATH 207","2022-09-26"
"161","S0008","E E 280","2022-09-26"
"162","S0009","MATH 408","2023-09-26"
"163","S0009","MATH 407","2023-09-26"
"164","S0009","MATH 136","2020-09-26"
"165","S0009","MATH 135","2020-09-26"
"166","S0009","MATH 134","2020-09-26"
"167","S0009","MATH 208","2021-09-26"
"168","S0009","MATH 126","2020-09-26"
"169","S0009","MATH 125","2020-09-26"
"170","S0009","MATH 124","2020-09-26"
"171","S0009","MATH 134","2020-09-26"
"172","S0009","MATH 464","2023-09-26"
"173","S0009","MATH 136","2020-09-26"
"174","S0009","MATH 135","2020-09-26"
"175","S0009","MATH 208","2021-09-26"
"176","S0009","MATH 462","2023-09-26"
"177","S0009","MATH 461","2023-09-26"
"178","S0009","MATH 334","2022-09-26"
"179","S0009","MATH 300","2022-09-26"
"180","S0009","CSE 421","2023-09-26"
"181","S0009","CSE 312","2022-09-26"
"182","S0009","CSE 311","2022-09-26"
"183","S0009","CSE 332","2022-09-26"
"184","S0009","CSE 311","2022-09-26"
"185","S0009","MATH 444","2023-09-26"
"186","S0009","MATH 334","2022-09-26"
"187","S0009","MATH 208","2021-09-26"
"188","S0009","MATH 426","2023-09-26"
"189","S0009","MATH 425","2023-09-26"
"190","S0009","MATH 208","2021-09-26"
"191","S0009","MATH 381","2022-09-26"
"192","S0009","MATH 342","2022-09-26"
"193","S0009","MATH 282","2021-09-26"
"194","S0009","MATH 207","2021-09-26"
"195","S0009","MATH 209","2021-09-26"
"196","S0009","MATH 207","2021-09-26"
"197","S0009","MATH 208","2021-09-26"
"198","S0010","CSE 462","2023-09-26"
"199","S0010","MATH 208","2021-09-26"
"200","S0010","MATH 126","2020-09-26"
"201","S0010","MATH 125","2020-09-26"
"202","S0010","MATH 124","2020-09-26"
"203","S0010","MATH 134","2020-09-26"
"204","S0010","CSE 333","2022-09-26"
"205","S0010","CSE 351","2022-09-26"
"206","S0010","CSE 123","2020-09-26"
"207","S0010","CSE 143","2020-09-26"
"208","S0010","CSE 142","2020-09-26"
"209","S0010","E E 472","2023-09-26"
"210","S0010","CSE 373","2022-09-26"
"211","S0010","CSE 123","2020-09-26"
"212","S0010","CSE 143","2020-09-26"
"213","S0010","CSE 374","2022-09-26"
"214","S0010","CSE 333","2022-09-26"
"215","S0010","CSE 351","2022-09-26"
"216","S0010","CSE 410","2023-09-26"
"217","S0010","CSE 373","2022-09-26"
"218","S0010","CSE 472","2023-09-26"
"219","S0010","CSE 311","2022-09-26"
"220","S0010","CSE 421","2023-09-26"
"221","S0010","CSE 312","2022-09-26"
"222","S0010","CSE 402","2023-09-26"
"223","S0010","CSE 414","2023-09-26"
"224","S0010","CSE 451","2023-09-26"
"225","S0010","CSE 491","2023-09-26"
"226","S0010","MATH 207","2021-09-26"
"227","S0010","E E 233","2021-09-26"
"228","S0010","E E 215","2021-09-26"
"229","S0010","E E 299","2021-09-26"
"230","S0010","MATH 282","2021-09-26"
"231","S0010","E E 201","2021-09-26"
"232","S0010","MATH 224","2021-09-26"
"233","S0010","E E 242","2021-09-26"
"234","S0011","CSE 112","2023-09-26"
"235","S0011","MATH 109","2023-09-26"
"236","S0011","CSE 123","2023-09-26"
"237","S0011","CSE 110","2023-09-26"
"238","S0011","MATH 136","2023-09-26"
"239","S0011","MATH 135","2023-09-26"
"240","S0011","MATH 134","2023-09-26"
"241","S0011","CSE 154","2023-09-26"
"242","S0011","CSE 122","2023-09-26"
"243","S0012","MATH 120","2023-09-26"
"244","S0012","CSE 131","2023-09-26"
"245","S0012","MATH 116","2023-09-26"
"246","S0012","MATH 125","2023-09-26"
"247","S0012","MATH 124","2023-09-26"
"248","S0012","MATH 100","2023-09-26"
"249","S0012","MATH 102","2023-09-26"
"250","S0012","CSE 154","2023-09-26"
"251","S0012","CSE 122","2023-09-26"
"252","S0013","E E 371","2023-09-26"
"253","S0013","E E 205","2022-09-26"
"254","S0013","MATH 126","2021-09-26"
"255","S0013","MATH 125","2021-09-26"
"256","S0013","MATH 124","2021-09-26"
"257","S0013","MATH 134","2021-09-26"
"258","S0013","MATH 136","2021-09-26"
"259","S0013","MATH 135","2021-09-26"
"260","S0013","MATH 134","2021-09-26"
"261","S0013","E E 215","2022-09-26"
"262","S0013","MATH 136","2021-09-26"
"263","S0013","MATH 135","2021-09-26"
