"Major","Course ID","Course Name","Credits","Prerequisites","Course Description","Detailed Course Prerequisite","Key Words"
"Applied Mathematics","AMATH 301","Beginning Scientific Computing","4","MATH 125, MATH 135","Introduction to the use of computers to solve problems arising in the physical, biological, and engineering sciences. Application of mathematical judgment, programming architecture, and flow control in solving scientific problems. Introduction to MATLAB or Python routines for numerical programming, computation, and visualization.","either MATH 125, Q SCI 292, or MATH 135","Computation & Scientific Computing, Mathematical Biology, Computer-Aided Mathematics"
"Applied Mathematics","AMATH 342","Introduction to Neural Coding and Computation","3","MATH 125, MATH 135","Introduces computational neuroscience, grounded in neuronal and synaptic biophysics. Works through mathematical description of how neurons encode information, and how neural activity is produced dynamically. Uses and teaches MATLAB and/or Python as a programming language to implement models of neuronal dynamics and to perform coding analysis. ","MATH 125 or MATH 135","Bioengineering & Neural Engineering, Computation & Scientific Computing, Mathematical Biology"
"Applied Mathematics","AMATH 351","Introduction to Differential Equations and Applications","3","MATH 125, MATH 135","Introductory survey of ordinary differential equations; linear and nonlinear equations; Taylor series; and. Laplace transforms. Emphasizes on formulation, solution, and interpretation of results. Examples drawn from physical and biological sciences and engineering. ","MATH 125 or MATH 135","Differential Equations & Dynamical Systems, Mathematical Biology, Computer-Aided Mathematics"
"Applied Mathematics","AMATH 352","Applied Linear Algebra and Numerical Analysis","3","MATH 126, MATH 136","Analysis and application of numerical methods and algorithms to problems in the applied sciences and engineering. Applied linear algebra, including eigenvalue problems. Emphasis on use of conceptual methods in engineering, mathematics, and science. Extensive use of MATLAB and/or Python for programming and solution techniques.","MATH 126 or MATH 136","Algebra & Abstract Algebra, Numerical Analysis, Computer-Aided Mathematics"
"Applied Mathematics","AMATH 353","Partial Differential Equations and Waves","3","AMATH 351, MATH 136, MATH 207","Covers traveling waves of linear equations, dispersion relation, stability, superposition and Fourier analysis, d'Alembert solution, standing waves, vibrations and separation of variables, traveling waves of nonlinear equations, conservation laws, characteristics, breaking, shocks, and rarefaction.","AMATH 351, MATH 136, or MATH 207","Differential Equations & Dynamical Systems, Numerical Analysis, Complex Analysis & Complex Variables"
"Applied Mathematics","AMATH 383","Introduction to Continuous Mathematical Modeling","3","AMATH 351, MATH 136, MATH 207","Introductory survey of applied mathematics with emphasis on modeling of physical and biological problems in terms of differential equations. Formulation, solution, and interpretation of the results","either AMATH 351, MATH 136, or MATH 207","Mathematical Modeling, Mathematical Biology, Computer-Aided Mathematics"
"Applied Mathematics","AMATH 401","Vector Calculus and Complex Variables","4","MATH 126, MATH 136","Emphasizes acquisition of solution techniques; illustrates ideas with specific example problems arising in science and engineering. Includes applications of vector differential calculus, complex variables; line-surface integrals; integral theorems; and Taylor and Laurent series, and contour integration.","either MATH 126 or MATH 136","Complex Analysis & Complex Variables, Combinatorics & Discrete Mathematics, Computer-Aided Mathematics"
"Applied Mathematics","AMATH 402","Introduction to Dynamical Systems and Chaos","4","AMATH 351, MATH 136, MATH 207","Overview methods describing qualitative behavior of solutions on nonlinear differential equations. Phase space analysis of fixed pointed and periodic orbits. Bifurcation methods. Description of strange attractors and chaos. Introductions to maps. Applications: engineering, physics, chemistry, and biology.","either AMATH 351, MATH 136, or MATH 207","Differential Equations & Dynamical Systems, Topology & Geometry, Numerical Analysis"
"Applied Mathematics","AMATH 403","Methods for Partial Differential Equations ","4","AMATH 401, AMATH 351, MATH 136, MATH 207","Covers separation of variables, Fourier series and Fourier transforms, Sturm-Liouville theory and special functions, eigenfunction expansions, and Greens functions.","AMATH 401; and either AMATH 351, MATH 136, or MATH 207","Differential Equations & Dynamical Systems, Complex Analysis & Complex Variables, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 422","Computational Modeling of Biological Systems","3","MATH 135, MATH 207, AMATH 351","Examines fundamental models that arise in biology and their analysis through modern scientific computing. Covers discrete and continuous-time dynamics, in deterministic and stochastic settings, with application from molecular biology to neuroscience to population dynamics; statistical analysis of experimental data; and MATLAB and/or Python programming from scratch.","either MATH 135, MATH 207, or AMATH 351","Mathematical Biology, Mathematical Modeling, Computation & Scientific Computing"
"Applied Mathematics","AMATH 423","Mathematical Analysis in Biology and Medicine","3","AMATH 351, MATH 207, MATH 135","Focuses on developing and analyzing mechanistic, dynamic models of biological systems and processes, to better understand their behavior and function. Applications drawn from many branches of biology and medicine. Provides experiences in applying differential equations, difference equations, and dynamical systems theory to biological problems.","either AMATH 351, MATH 207, or MATH 135","Mathematical Biology, Mathematical Modeling, Analysis & Real Analysis"
